TrialRep,Model,AC,TransGen,Extinctions
1,ModelA,NoAuto,BothTrans,1438
1,ModelA,NoAuto,NoTrans,2318
1,ModelA,Auto,BothTrans,1288
1,ModelA,Auto,NoTrans,2270
1,ModelB,NoAuto,BothTrans,1296
1,ModelB,NoAuto,NoTrans,2313
1,ModelB,Auto,BothTrans,1285
1,ModelB,Auto,NoTrans,2268
1,ModelA,NoAuto,WaspTrans,2318
1,ModelA,NoAuto,FlyTrans,1438
1,ModelA,Auto,WaspTrans,2270
1,ModelA,Auto,FlyTrans,1288
1,ModelB,NoAuto,WaspTrans,2313
1,ModelB,NoAuto,FlyTrans,1438
1,ModelB,Auto,WaspTrans,2268
1,ModelB,Auto,FlyTrans,1285
2,ModelA,NoAuto,BothTrans,1421
2,ModelA,NoAuto,NoTrans,2288
2,ModelA,Auto,BothTrans,201
2,ModelA,Auto,NoTrans,2037
2,ModelB,NoAuto,BothTrans,1421
2,ModelB,NoAuto,NoTrans,2287
2,ModelB,Auto,BothTrans,1295
2,ModelB,Auto,NoTrans,1867
2,ModelA,NoAuto,WaspTrans,2288
2,ModelA,NoAuto,FlyTrans,1421
2,ModelA,Auto,WaspTrans,2037
2,ModelA,Auto,FlyTrans,1421
2,ModelB,NoAuto,WaspTrans,2287
2,ModelB,NoAuto,FlyTrans,1421
2,ModelB,Auto,WaspTrans,1867
2,ModelB,Auto,FlyTrans,1295
3,ModelA,NoAuto,BothTrans,1484
3,ModelA,NoAuto,NoTrans,2306
3,ModelA,Auto,BothTrans,1376
3,ModelA,Auto,NoTrans,2254
3,ModelB,NoAuto,BothTrans,1484
3,ModelB,NoAuto,NoTrans,2305
3,ModelB,Auto,BothTrans,1374
3,ModelB,Auto,NoTrans,1961
3,ModelA,NoAuto,WaspTrans,2306
3,ModelA,NoAuto,FlyTrans,1484
3,ModelA,Auto,WaspTrans,2254
3,ModelA,Auto,FlyTrans,1376
3,ModelB,NoAuto,WaspTrans,2305
3,ModelB,NoAuto,FlyTrans,1484
3,ModelB,Auto,WaspTrans,1961
