G0 ,G1 ,Vial,Count ,G0_deaths,Zero_emergence,Notes 
19,19,1001,18,0,0,
19,19,1002,22,0,0,
19,19,1003,9,0,0,
19,19,1004,20,0,0,
19,19,1005,15,0,0,
19,19,1006,6,0,0,
19,19,1007,0,0,1,
19,19,1008,15,0,0,
19,19,1009,4,0,0,
19,19,1010,14,0,0,
19,19,1011,18,0,0,
19,19,1012,30,0,0,
19,19,1013,7,0,0,
19,19,1014,30,0,0,
19,19,1015,28,0,0,
19,19,1016,24,0,0,
19,19,1017,19,0,0,
19,19,1018,16,0,0,
19,19,1019,10,0,0,
19,19,1020,8,0,0,
19,19,1021,2,0,0,
19,19,1022,7,0,0,
19,19,1023,4,0,0,
19,19,1024,15,0,0,
19,19,1025,9,0,0,
19,19,1026,20,0,0,
19,19,1027,13,0,0,
19,19,1028,14,0,0,
19,19,1029,6,0,0,
19,19,1030,1,0,0,
19,19,1031,10,0,0,
19,19,1032,0,0,1,
19,19,1033,10,0,0,
19,19,1034,19,0,0,
19,19,1035,14,0,0,
19,19,1036,15,0,0,
19,19,1037,6,0,0,
19,19,1038,27,0,0,
19,19,1039,12,0,0,
19,19,1040,16,0,0,
19,21,1061,22,0,0,
19,21,1062,48,0,0,
19,21,1063,20,0,0,
19,21,1064,20,0,0,Dropped some so slightly uncertain
19,21,1065,25,0,0,
19,21,1066,25,0,0,
19,21,1067,11,0,0,
19,21,1068,31,0,0,
19,21,1069,22,0,0,
19,21,1070,1,0,0,
19,21,1071,7,0,0,
19,21,1072,48,0,0,
19,21,1073,48,0,0,
19,21,1074,19,0,0,
19,21,1075,7,0,0,
19,21,1076,38,0,0,
19,21,1077,7,0,0,
19,21,1078,22,0,0,
19,21,1079,44,0,0,
19,21,1080,7,0,0,
19,21,1081,12,0,0,
19,21,1082,21,0,0,
19,21,1083,11,0,0,
19,21,1084,17,0,0,
19,21,1085,10,0,0,
19,21,1086,24,0,0,
19,21,1087,3,0,0,
19,21,1088,0,0,1,
19,21,1089,40,0,0,
19,21,1090,16,0,0,
19,21,1091,15,0,0,
19,21,1092,8,0,0,
19,21,1093,44,0,0,
19,21,1094,6,0,0,
19,21,1095,33,0,0,
19,21,1096,18,0,0,
19,21,1097,22,0,0,
19,21,1098,30,0,0,
19,21,1099,22,0,0,
19,21,1100,11,0,0,
19,23,1101,44,0,0,
19,23,1102,25,0,0,
19,23,1103,40,0,0,
19,23,1104,46,0,0,
19,23,1105,29,0,0,
19,23,1106,16,0,0,
19,23,1107,51,0,0,
19,23,1108,16,0,0,
19,23,1109,38,0,0,
19,23,1110,37,0,0,
19,23,1111,35,0,0,
19,23,1112,24,0,0,
19,23,1113,41,0,0,
19,23,1114,16,0,0,
19,23,1115,45,0,0,
19,23,1116,45,0,0,
19,23,1117,32,0,0,
19,23,1118,43,0,0,
19,23,1119,52,0,0,
19,23,1120,33,0,0,
19,23,1121,51,0,0,
19,23,1122,44,0,0,
19,23,1123,33,0,0,
19,23,1124,19,0,0,
19,23,1125,10,0,0,
19,23,1126,35,0,0,
19,23,1127,40,0,0,
19,23,1128,29,0,0,
19,23,1129,55,0,0,
19,23,1130,65,0,0,
19,23,1131,27,0,0,
19,23,1132,29,0,0,
19,23,1133,27,0,0,
19,23,1134,39,0,0,
19,23,1135,18,0,0,
19,23,1136,19,0,0,
19,23,1137,22,0,0,
19,23,1138,53,0,0,
19,23,1139,27,0,0,
19,23,1140,34,0,0,
19,25,1141,40,0,0,
19,25,1142,29,0,0,
19,25,1143,76,0,0,
19,25,1144,54,0,0,
19,25,1145,44,0,0,
19,25,1146,41,0,0,
19,25,1147,35,0,0,
19,25,1148,20,0,0,
19,25,1149,41,0,0,
19,25,1150,42,0,0,
19,25,1151,28,0,0,
19,25,1152,28,0,0,
19,25,1153,69,0,0,
19,25,1154,36,0,0,
19,25,1155,37,0,0,
19,25,1156,47,0,0,
19,25,1157,42,0,0,
19,25,1158,38,0,0,
19,25,1159,36,0,0,
19,25,1160,33,0,0,
19,25,1161,47,0,0,
19,25,1162,40,0,0,
19,25,1163,75,0,0,
19,25,1164,36,0,0,
19,25,1165,16,0,0,
19,25,1166,44,0,0,
19,25,1167,24,0,0,
