G0 ,G1 ,Vial,Fly_count,Wasp_count,Notes 
19,19,2001,31,55,
19,19,2002,71,29,
19,19,2003,13,74,
19,19,2004,112,0,
19,19,2005,23,105,
19,19,2006,25,87,
19,19,2007,34,62,
19,19,2008,67,57,
19,19,2009,31,85,
19,19,2010,11,88,
19,19,2011,22,85,
19,19,2012,28,87,
19,19,2013,12,103,
19,19,2014,67,19,
19,19,2015,53,35,
19,19,2016,37,48,
19,21,2021,11,115,
19,21,2022,6,55,
19,21,2023,115,1,
19,21,2024,13,86,
19,21,2025,64,46,
19,21,2026,11,90,
19,21,2027,11,79,
19,21,2028,63,45,
19,21,2029,26,50,
19,21,2030,15,108,
19,21,2031,37,58,
19,21,2032,21,76,
19,21,2033,19,123,
19,21,2034,11,99,
19,21,2035,18,76,
19,21,2036,8,35,
19,23,2041,44,51,
19,23,2042,75,32,
19,23,2043,65,30,
19,23,2044,20,58,
19,23,2045,100,3,
19,23,2046,36,67,
19,23,2047,102,3,
19,23,2048,90,6,
19,23,2049,10,67,
19,23,2050,49,35,
19,23,2051,90,4,
19,23,2052,16,61,
19,23,2053,53,34,
19,23,2054,58,32,
19,23,2055,6,75,
19,23,2056,12,81,
19,25,2061,24,48,
19,25,2062,11,39,
19,25,2063,94,0,
19,25,2064,18,69,
19,25,2065,90,3,
19,25,2066,9,50,
19,25,2067,4,68,
19,25,2068,2,48,
19,25,2069,9,70,
19,25,2070,6,48,
19,25,2071,17,71,
19,25,2072,108,0,
19,25,2073,8,85,
19,25,2074,48,49,
19,25,2075,19,54,
19,25,2076,5,75,
19,27,2081,6,54,
19,27,2082,38,30,
19,27,2083,33,23,
19,27,2084,26,45,
19,27,2085,29,36,
19,27,2086,10,59,
19,27,2087,73,21,
19,27,2088,40,23,
19,27,2089,67,1,
19,27,2090,3,62,
19,27,2091,21,51,
19,27,2092,84,1,
19,27,2093,43,34,
19,27,2094,54,50,
19,27,2095,18,54,
19,27,2096,15,38,
23,19,2101,20,77,
23,19,2102,31,81,
23,19,2103,4,84,
23,19,2104,18,85,
23,19,2105,106,5,
23,19,2106,18,117,
23,19,2107,30,60,
23,19,2108,15,130,
23,19,2109,14,94,
23,19,2110,9,93,
23,19,2111,13,91,
23,19,2112,16,141,
23,19,2113,14,102,
23,19,2114,4,105,
23,19,2115,47,81,
23,19,2116,17,80,
23,19,2117,3,82,
23,19,2118,11,63,
23,19,2119,27,72,
23,19,2120,45,57,
23,21,2121,4,100,
23,21,2122,22,85,
23,21,2123,36,94,
23,21,2124,7,93,
23,21,2125,29,135,
23,21,2126,65,43,
23,21,2127,71,39,
23,21,2128,14,97,
23,21,2129,21,102,
23,21,2130,10,115,
23,21,2131,18,110,
23,21,2132,7,70,
23,21,2133,61,69,
23,21,2134,4,49,
23,21,2135,41,98,
23,21,2136,16,98,
23,21,2137,29,135,
23,21,2138,72,68,
23,21,2139,13,104,
23,21,2140,27,80,
23,23,2141,18,72,
23,23,2142,11,100,
23,23,2143,14,98,
23,23,2144,20,99,
23,23,2145,21,90,
23,23,2146,6,110,
23,23,2147,3,96,
23,23,2148,11,95,
23,23,2149,10,101,
23,23,2150,22,84,
23,23,2151,4,87,
23,23,2152,3,66,
23,23,2153,12,99,
23,23,2154,3,119,
23,23,2155,5,101,
23,23,2156,47,50,
23,23,2157,48,71,
23,23,2158,3,103,combined half
23,23,2159,3,103,combined half
23,23,2160,53,65,
23,25,2161,7,180,
23,25,2162,0,56,
23,25,2163,6,131,
23,25,2164,69,73,
23,25,2165,6,125,
23,25,2166,4,167,
23,25,2167,57,115,
23,25,2168,0,135,
23,25,2169,3,96,
23,25,2170,33,133,
23,25,2171,5,162,
23,25,2172,28,100,
23,25,2173,11,141,
23,25,2174,5,106,
23,25,2175,118,33,
23,25,2176,123,103,
23,25,2177,13,42,
23,25,2178,81,37,
23,25,2179,27,132,
23,25,2180,1,92,
23,27,2181,37,78,
23,27,2182,23,104,
23,27,2183,23,79,
23,27,2184,20,133,
23,27,2185,3,118,
23,27,2186,29,166,
23,27,2187,8,152,
23,27,2188,1,98,
23,27,2189,8,144,
23,27,2190,9,137,
23,27,2191,4,93,
23,27,2192,23,104,
23,27,2193,16,138,
23,27,2194,116,34,
23,27,2195,11,120,
23,27,2196,3,80,
23,27,2197,6,66,
23,27,2198,13,115,
23,27,2199,31,95,
23,27,2200,9,155,
27,19,2201,21,54,
27,19,2202,78,13,
27,19,2203,17,18,
27,19,2204,80,9,
27,19,2205,14,29,
27,19,2206,22,46,
27,19,2207,24,34,
27,19,2208,8,48,
27,19,2209,17,29,
27,19,2210,32,35,
27,19,2211,5,40,
27,19,2212,11,62,
27,19,2213,22,44,
27,19,2214,8,58,
27,19,2215,25,46,
27,19,2216,20,64,
27,19,2217,21,53,
27,19,2218,9,21,
27,19,2219,25,48,
27,19,2220,44,11,
27,21,2221,5,48,
27,21,2222,18,49,
27,21,2223,3,49,
27,21,2224,5,38,
27,21,2225,48,28,
27,21,2226,22,54,
27,21,2227,3,41,
27,21,2228,33,46,
27,21,2229,7,26,
27,21,2230,13,69,
27,21,2231,15,40,
27,21,2232,14,45,
27,21,2233,8,67,
27,21,2234,61,18,
27,21,2235,14,46,
27,21,2236,12,63,
27,21,2237,9,52,
27,21,2238,18,50,
27,21,2239,9,60,
27,23,2241,1,38,
27,23,2242,1,45,
27,23,2243,10,57,
27,23,2244,9,56,
27,23,2245,17,63,
27,23,2246,0,37,
27,23,2247,3,65,
27,23,2248,1,46,
27,23,2249,1,64,
27,23,2250,2,73,
27,23,2251,0,57,
27,23,2252,0,44,
27,23,2253,13,64,
27,23,2254,28,42,
27,23,2255,2,61,
27,23,2256,1,80,
27,23,2257,0,62,
27,23,2258,21,84,
27,23,2259,4,69,
27,23,2260,7,72,
27,25,2261,4,57,
27,25,2262,5,69,
27,25,2263,1,57,
27,25,2264,9,42,
27,25,2265,5,42,
27,25,2266,3,70,
27,25,2267,3,55,
